date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:39:45	51245/51245	---M--	200	added ('OK')	text/css	etag:%2235a1e82-c82d-53fd91e4bc673%22	http://www.softwebsolutions.com/wp-content/themes/softwebsolutions/css/blog.css	/tmp/www.softwaregurus.com/www.softwebsolutions.com/wp-content/themes/softwebsolutions/css/blog.css	(from http://www.softwebsolutions.com/)
21:39:46	61110/61110	---M-Z	200	added ('OK')	text/html	date:Sun,%2025%20Dec%202016%2002:39:42%20GMT	http://www.softwebsolutions.com/sharepoint-development.html	/tmp/www.softwaregurus.com/www.softwebsolutions.com/sharepoint-development.html	(from http://www.softwebsolutions.com/)
21:39:47	24618/24618	---M-Z	200	added ('OK')	text/html	date:Sun,%2025%20Dec%202016%2002:39:46%20GMT	http://go.softwebsolutions.com/microsoft-hololens-app-development-company.html	/tmp/www.softwaregurus.com/go.softwebsolutions.com/microsoft-hololens-app-development-company.html	(from http://www.softwebsolutions.com/)
21:39:47	2626/2626	---M--	200	added ('OK')	image/svg+xml	etag:%2235a1372-a42-52b8e458137c0%22	http://www.softwebsolutions.com/wp-content/themes/softwebsolutions/images/icons-strategy-design.svg	/tmp/www.softwaregurus.com/www.softwebsolutions.com/wp-content/themes/softwebsolutions/images/icons-strategy-design.svg	(from http://www.softwebsolutions.com/)
21:39:47	31461/31461	---M-Z	200	added ('OK')	text/html	date:Sun,%2025%20Dec%202016%2002:39:47%20GMT	http://go.softwebsolutions.com/marketing-automation.html	/tmp/www.softwaregurus.com/go.softwebsolutions.com/marketing-automation.html	(from http://www.softwebsolutions.com/)
21:39:49	50271/50271	---M-Z	200	added ('OK')	text/html	date:Sun,%2025%20Dec%202016%2002:39:44%20GMT	http://www.softwebsolutions.com/digital-experience-for-manufacturing-industries.html	/tmp/www.softwaregurus.com/www.softwebsolutions.com/digital-experience-for-manufacturing-industries.html	(from http://www.softwebsolutions.com/)
21:39:49	27842/27842	---M-Z	200	added ('OK')	text/html	date:Sun,%2025%20Dec%202016%2002:39:49%20GMT	http://go.softwebsolutions.com/firebase-development-services.html	/tmp/www.softwaregurus.com/go.softwebsolutions.com/firebase-development-services.html	(from http://www.softwebsolutions.com/)
21:39:50	4686/4686	---M--	200	added ('OK')	image/svg+xml	etag:%2235a130f-124e-52b8e458137c0%22	http://www.softwebsolutions.com/wp-content/themes/softwebsolutions/images/icons-engineering.svg	/tmp/www.softwaregurus.com/www.softwebsolutions.com/wp-content/themes/softwebsolutions/images/icons-engineering.svg	(from http://www.softwebsolutions.com/)
21:39:51	67381/67381	---M-Z	200	added ('OK')	text/html	date:Sun,%2025%20Dec%202016%2002:39:47%20GMT	http://www.softwebsolutions.com/custom-net-development-services.html	/tmp/www.softwaregurus.com/www.softwebsolutions.com/custom-net-development-services.html	(from http://www.softwebsolutions.com/)
21:39:53	46487/46487	---M-Z	200	added ('OK')	text/html	date:Sun,%2025%20Dec%202016%2002:39:48%20GMT	http://www.softwebsolutions.com/application-development.html	/tmp/www.softwaregurus.com/www.softwebsolutions.com/application-development.html	(from http://www.softwebsolutions.com/)
21:39:54	45046/45046	---M-Z	200	added ('OK')	text/html	date:Sun,%2025%20Dec%202016%2002:39:50%20GMT	http://www.softwebsolutions.com/web-frameworks.html	/tmp/www.softwaregurus.com/www.softwebsolutions.com/web-frameworks.html	(from http://www.softwebsolutions.com/)
21:39:56	57863/57863	---M-Z	200	added ('OK')	text/html	date:Sun,%2025%20Dec%202016%2002:39:51%20GMT	http://www.softwebsolutions.com/java-J2EE.html	/tmp/www.softwaregurus.com/www.softwebsolutions.com/java-J2EE.html	(from http://www.softwebsolutions.com/)
21:39:56	60677/60677	---M-Z	200	added ('OK')	text/html	date:Sun,%2025%20Dec%202016%2002:39:53%20GMT	http://www.softwebsolutions.com/cloud-consulting-services.html	/tmp/www.softwaregurus.com/www.softwebsolutions.com/cloud-consulting-services.html	(from http://www.softwebsolutions.com/)
21:39:58	50722/50722	---M-Z	200	added ('OK')	text/html	date:Sun,%2025%20Dec%202016%2002:39:53%20GMT	http://www.softwebsolutions.com/microsoft-office-365.html	/tmp/www.softwaregurus.com/www.softwebsolutions.com/microsoft-office-365.html	(from http://www.softwebsolutions.com/)
21:39:59	43198/43198	---M-Z	200	added ('OK')	text/html	date:Sun,%2025%20Dec%202016%2002:39:55%20GMT	http://www.softwebsolutions.com/enterprise-web-presence.html	/tmp/www.softwaregurus.com/www.softwebsolutions.com/enterprise-web-presence.html	(from http://www.softwebsolutions.com/)
21:40:01	46237/46237	---M-Z	200	added ('OK')	text/html	date:Sun,%2025%20Dec%202016%2002:39:56%20GMT	http://www.softwebsolutions.com/sap-mobility.html	/tmp/www.softwaregurus.com/www.softwebsolutions.com/sap-mobility.html	(from http://www.softwebsolutions.com/)
21:40:02	46280/46280	---M-Z	200	added ('OK')	text/html	date:Sun,%2025%20Dec%202016%2002:39:58%20GMT	http://www.softwebsolutions.com/salesforce.html	/tmp/www.softwaregurus.com/www.softwebsolutions.com/salesforce.html	(from http://www.softwebsolutions.com/)
21:40:04	49226/49226	---M-Z	200	added ('OK')	text/html	date:Sun,%2025%20Dec%202016%2002:39:59%20GMT	http://www.softwebsolutions.com/e-commerce.html	/tmp/www.softwaregurus.com/www.softwebsolutions.com/e-commerce.html	(from http://www.softwebsolutions.com/)
21:40:05	44531/44531	---M-Z	200	added ('OK')	text/html	date:Sun,%2025%20Dec%202016%2002:40:01%20GMT	http://www.softwebsolutions.com/qa-automation-testing-services.html	/tmp/www.softwaregurus.com/www.softwebsolutions.com/qa-automation-testing-services.html	(from http://www.softwebsolutions.com/)
